championId,p_val,mean_diff,mean_svm,mean_rand,std_svm,std_rand
15,0.0,-0.06703000000000003,0.49297,0.56,0.0634,0.06419
240,0.0,0.11652000000000001,0.53913,0.42261,0.08295,0.06794
9,0.0,0.09714,0.67571,0.57857,0.06579,0.07559
421,0.0,0.13571,0.55857,0.42286,0.12833,0.07262
44,0.0,0.11617,0.7417,0.62553,0.05881,0.04719
117,0.0,0.16091000000000005,0.64697,0.48606,0.05671,0.06398
8,0.0,0.08046999999999999,0.53476,0.45429,0.07971,0.04308
82,0.0,-0.10666999999999999,0.47333,0.58,0.09179,0.1001
201,0.0,0.05245,0.70868,0.65623,0.0519,0.0491
107,0.0,0.12065000000000003,0.62426,0.50361,0.04298,0.05143
51,0.0,0.08559000000000005,0.59928,0.51369,0.042,0.04574
72,0.0,0.08545000000000003,0.61697,0.53152,0.06742,0.07884
121,0.0,0.11205999999999994,0.64294,0.53088,0.04679,0.04597
35,0.0,0.14651999999999998,0.70609,0.55957,0.06597,0.05427
432,0.0,0.07846000000000009,0.675,0.59654,0.05695,0.0436
113,0.0,0.16428999999999994,0.67429,0.51,0.08017,0.07455
40,0.0,0.05359999999999998,0.6136,0.56,0.05584,0.0439
92,0.0,0.07222,0.54389,0.47167,0.05668,0.05713
26,0.0,0.17031000000000002,0.61758,0.44727,0.07469,0.04558
63,0.0,0.12059999999999993,0.68121,0.56061,0.05283,0.05152
53,0.0,0.09461999999999993,0.77872,0.6841,0.04133,0.05297
96,0.0,0.10444000000000003,0.54444,0.44,0.07848,0.06182
412,0.0,0.19070999999999994,0.72,0.52929,0.03512,0.04556
119,0.0,0.061450000000000005,0.6147,0.55325,0.04327,0.0489
141,0.0,0.054219999999999935,0.6453,0.59108,0.04832,0.04387
43,0.0,0.08685999999999999,0.53086,0.444,0.08516,0.04543
64,0.0,0.07813000000000003,0.65625,0.57812,0.04452,0.05367
143,0.0,0.16666999999999998,0.70611,0.53944,0.06552,0.06528
267,0.0,0.20892000000000005,0.6973,0.48838,0.05164,0.04341
203,0.0,0.1167999999999999,0.7736,0.6568,0.07402,0.06792
34,0.0,0.12438999999999995,0.58976,0.46537,0.05786,0.0545
76,0.0,0.20417000000000002,0.64,0.43583,0.06278,0.04266
12,0.0,0.13714000000000004,0.62143,0.48429,0.05013,0.05034
60,0.0,0.10770000000000002,0.54308,0.43538,0.12154,0.07786
245,0.0,0.06302999999999992,0.68485,0.62182,0.05053,0.05645
24,0.0,0.05740000000000001,0.6247,0.5673,0.03342,0.04077
56,0.0,0.15647,0.61176,0.45529,0.08725,0.06635
110,0.0,0.05918000000000001,0.61423,0.55505,0.03863,0.03471
14,0.0,0.09594000000000003,0.5542,0.45826,0.04697,0.03316
266,0.0,-0.12880000000000003,0.48,0.6088,0.07589,0.07891
67,0.0,0.08354000000000006,0.62177,0.53823,0.03758,0.04367
68,0.0,0.17818,0.75636,0.57818,0.12913,0.14289
104,0.0,0.08609,0.61652,0.53043,0.08551,0.07171
103,0.0,0.06171999999999994,0.52655,0.46483,0.05232,0.03289
61,0.0,0.07023999999999997,0.52977,0.45953,0.06297,0.05688
13,0.0,0.08302999999999999,0.54909,0.46606,0.06847,0.06907
