championId,p_val,mean_diff,mean_svm,mean_rand,std_svm,std_rand
90,0.0,0.1087499999999999,0.695,0.58625,0.05713,0.06482
163,0.0,0.17385,0.63,0.45615,0.07916,0.09881
142,0.0,0.09999999999999998,0.69429,0.59429,0.06738,0.05738
57,0.0,0.08933000000000002,0.61333,0.524,0.07303,0.10001
126,0.0,0.10221999999999998,0.6237,0.52148,0.07887,0.07938
64,0.0,0.11499999999999999,0.69406,0.57906,0.05712,0.04994
114,0.0,0.12124999999999997,0.62583,0.50458,0.06427,0.04738
98,0.0,0.09479000000000004,0.70609,0.6113,0.05521,0.05713
119,0.0,0.11735000000000007,0.6641,0.54675,0.05098,0.04194
497,0.0,0.07665999999999995,0.68033,0.60367,0.04781,0.04947
412,0.0,0.19535999999999998,0.72929,0.53393,0.03934,0.04731
104,0.0,0.14522000000000002,0.68,0.53478,0.07315,0.07288
63,0.0,0.15515,0.70939,0.55424,0.05298,0.06667
112,0.0,0.11420000000000008,0.74065,0.62645,0.06827,0.06519
40,0.0,0.13679999999999992,0.69173,0.55493,0.04662,0.04445
117,0.0,0.17061000000000004,0.67061,0.5,0.04673,0.05222
105,0.0,0.08577000000000001,0.65846,0.57269,0.05853,0.05564
498,0.0,0.10372999999999999,0.68451,0.58078,0.04547,0.04148
222,0.0,0.06667000000000001,0.71217,0.6455,0.03884,0.03552
53,0.0,0.08256000000000008,0.76487,0.68231,0.03623,0.04361
72,0.0,0.10363,0.62848,0.52485,0.05679,0.08073
13,0.0,0.16303,0.61636,0.45333,0.07776,0.06326
26,0.0,0.21394000000000002,0.63697,0.42303,0.06399,0.04452
69,0.0,0.16000000000000003,0.656,0.496,0.07838,0.10245
421,0.0,0.23713999999999996,0.64143,0.40429,0.1233,0.07506
240,0.0,0.23217999999999994,0.66609,0.43391,0.08628,0.06478
201,0.0,0.08565999999999996,0.73358,0.64792,0.05251,0.05264
7,0.0,0.15818999999999994,0.64455,0.48636,0.09651,0.08732
107,0.0,0.13278999999999996,0.64525,0.51246,0.06097,0.05582
154,0.0,0.10205000000000009,0.63487,0.53282,0.06036,0.05786
51,0.0,0.16739000000000004,0.68577,0.51838,0.03388,0.03985
96,0.0,0.17260000000000003,0.60519,0.43259,0.08169,0.059
268,0.0,0.09533000000000003,0.638,0.54267,0.07087,0.07747
121,0.0,0.15764999999999996,0.67441,0.51676,0.04851,0.05359
35,0.0,0.12651999999999997,0.7,0.57348,0.06149,0.06284
16,0.0,0.07016999999999995,0.72881,0.65864,0.05016,0.04854
429,0.0,0.12435000000000007,0.66,0.53565,0.09826,0.1012
202,0.0,0.09037000000000006,0.66778,0.57741,0.04306,0.0427
432,0.0,0.07345999999999997,0.65615,0.58269,0.05462,0.04667
113,0.0,0.14,0.64048,0.50048,0.05244,0.06726
92,0.0,0.09471999999999997,0.57,0.47528,0.05219,0.0501
14,0.0,0.19855,0.66464,0.46609,0.04876,0.03153
50,0.0,0.10803999999999991,0.66392,0.55588,0.03535,0.04319
136,0.0,0.19427999999999995,0.61857,0.42429,0.11394,0.06763
61,0.0,0.12558000000000002,0.59721,0.47163,0.0623,0.06611
245,0.0,0.08211999999999997,0.70121,0.61909,0.04714,0.03928
24,0.0,0.09078000000000008,0.67217,0.58139,0.03645,0.03966
110,0.0,0.12947999999999993,0.68948,0.56,0.0406,0.04501
79,0.0,0.16630999999999996,0.70105,0.53474,0.09441,0.11739
18,0.0,0.08159000000000005,0.69127,0.60968,0.03402,0.03897
103,0.0,0.14414,0.61,0.46586,0.0533,0.03316
101,0.0,0.09765000000000001,0.60706,0.50941,0.0806,0.09216
77,0.0,0.06843999999999995,0.692,0.62356,0.05795,0.06401
67,0.0,0.13327,0.6715,0.53823,0.0372,0.03803
203,0.0,0.09599999999999997,0.7672,0.6712,0.06384,0.07602
85,0.0,0.14933000000000002,0.60133,0.452,0.12823,0.10937
143,0.0,0.16443999999999992,0.70444,0.54,0.0608,0.08111
34,0.0,0.19366,0.64927,0.45561,0.06339,0.05286
43,0.0,0.16286,0.60629,0.44343,0.07587,0.05087
141,0.0,0.07155999999999996,0.66819,0.59663,0.04425,0.04041
133,0.0,-0.0923799999999999,0.63048,0.72286,0.08056,0.0812
236,0.0,0.04415999999999998,0.64078,0.59662,0.0384,0.04311
99,0.0,0.09924,0.80576,0.70652,0.02838,0.03841
8,0.0,0.16571000000000002,0.6219,0.45619,0.07963,0.04841
56,0.0,0.21765,0.62941,0.41176,0.11361,0.08402
76,0.0,0.2675,0.71333,0.44583,0.0753,0.04877
267,0.0,0.22269999999999995,0.70027,0.47757,0.04787,0.04338
44,0.0,0.09404000000000001,0.71617,0.62213,0.06723,0.04973
4,0.0,0.10926000000000002,0.71463,0.60537,0.06214,0.05491
12,0.0,0.14,0.62107,0.48107,0.05432,0.0477
9,0.0,0.16071000000000002,0.68857,0.52786,0.07108,0.09853
60,0.0,0.15845999999999993,0.58154,0.42308,0.12227,0.08177
81,0.0,0.1499999999999999,0.67075,0.52075,0.04332,0.04181
41,1e-05,0.05262,0.61631,0.56369,0.05801,0.05553
42,2e-05,0.08696000000000004,0.60174,0.51478,0.0946,0.09928
19,3e-05,0.03215000000000001,0.75333,0.72118,0.03575,0.03648
106,7e-05,0.0487200000000001,0.72462,0.6759,0.05398,0.06149
59,0.0001,0.04870000000000008,0.65783,0.60913,0.05958,0.05889
28,0.00035,0.05436999999999992,0.67875,0.62438,0.07907,0.0657
84,0.00039,0.039999999999999925,0.74945,0.70945,0.05409,0.05375
89,0.00092,0.03420000000000001,0.75217,0.71797,0.04389,0.05455
2,0.00122,0.05600000000000005,0.8032,0.7472,0.08536,0.08097
58,0.00134,0.04111000000000009,0.68444,0.64333,0.05632,0.06652
161,0.00182,-0.04057999999999995,0.56471,0.60529,0.05391,0.07036
6,0.00288,-0.03807000000000005,0.74774,0.78581,0.06344,0.05975
39,0.00342,0.04857,0.63357,0.585,0.09225,0.06581
15,0.00357,0.050269999999999926,0.58432,0.53405,0.05992,0.1015
3,0.00373,0.030390000000000028,0.64731,0.61692,0.04859,0.05257
115,0.00404,0.039329999999999976,0.68933,0.65,0.06974,0.06227
68,0.00431,0.07636999999999994,0.66182,0.58545,0.12337,0.13504
25,0.00486,0.021460000000000035,0.73646,0.715,0.03899,0.0346
111,0.00674,-0.027780000000000027,0.82444,0.85222,0.05075,0.04857
