championId,p_val,mean_diff,mean_svm,mean_rand,std_svm,std_rand
37,0.0,0.17650999999999994,0.69477,0.51826,0.02268,0.01311
117,0.0,0.08839000000000008,0.61077,0.52238,0.02247,0.01422
69,0.0,0.2225999999999999,0.7484,0.5258,0.02844,0.01791
420,0.0,0.26666999999999996,0.79108,0.52441,0.02407,0.01876
201,0.0,0.05022000000000004,0.57188,0.52166,0.02282,0.01914
7,0.0,0.038959999999999995,0.5657,0.52674,0.03222,0.01856
3,0.0,0.44911,0.97068,0.52157,0.00829,0.0156
28,0.0,0.09907999999999995,0.62318,0.5241,0.03143,0.01794
107,0.0,0.043729999999999936,0.5648,0.52107,0.02677,0.01679
154,0.0,0.10887999999999998,0.63059,0.52171,0.02641,0.01764
51,0.0,0.17255999999999994,0.68556,0.513,0.0144,0.00976
75,0.0,0.31606,0.83358,0.51752,0.01448,0.01045
254,0.0,0.08936,0.61217,0.52281,0.02642,0.01663
121,0.0,0.09250999999999998,0.61297,0.52046,0.02267,0.01163
136,0.0,0.07879999999999998,0.61731,0.53851,0.05073,0.03012
35,0.0,0.03807000000000005,0.55839,0.52032,0.02114,0.01255
84,0.0,0.14950000000000008,0.672,0.5225,0.02621,0.0171
33,0.0,0.20843,0.74038,0.53195,0.02998,0.01965
202,0.0,0.10266999999999993,0.61818,0.51551,0.01331,0.01049
432,0.0,0.07246999999999992,0.59417,0.5217,0.02481,0.01335
113,0.0,0.09818000000000005,0.61838,0.5202,0.02759,0.0144
92,0.0,0.12776999999999994,0.64635,0.51858,0.01816,0.01319
6,0.0,0.07268000000000008,0.60118,0.5285,0.034,0.02432
26,0.0,0.26561999999999997,0.79233,0.52671,0.02604,0.01904
96,0.0,0.15861999999999998,0.68931,0.53069,0.03033,0.02179
27,0.0,0.035330000000000084,0.5611,0.52577,0.0316,0.01933
78,0.0,0.10255999999999998,0.63846,0.5359,0.04429,0.02622
163,0.0,-0.029400000000000037,0.4994,0.5288,0.0358,0.0226
59,0.0,0.05320999999999998,0.5814,0.52819,0.02987,0.01695
16,0.0,0.13535999999999992,0.65975,0.52439,0.02578,0.01854
62,0.0,0.19147999999999998,0.71749,0.52601,0.02173,0.01839
421,0.0,-0.04264000000000001,0.50679,0.54943,0.04818,0.03034
240,0.0,0.09611000000000003,0.62944,0.53333,0.04325,0.03143
85,0.0,0.17225000000000001,0.70633,0.53408,0.0372,0.02758
106,0.0,0.1590100000000001,0.68505,0.52604,0.02196,0.01937
36,0.0,0.23351999999999995,0.75972,0.5262,0.02833,0.01911
203,0.0,0.24381000000000008,0.76958,0.52577,0.02271,0.02434
23,0.0,0.10782000000000003,0.62404,0.51622,0.01995,0.01305
34,0.0,0.07181000000000004,0.59848,0.52667,0.03475,0.01828
76,0.0,0.19474999999999998,0.72088,0.52613,0.0322,0.02298
48,0.0,0.44445999999999997,0.96964,0.52518,0.0099,0.01556
4,0.0,0.10161999999999993,0.6253,0.52368,0.02693,0.01805
